id,playA,timeA,placarA,x,placarB,data,hora,playB,timeB;
1,acid,Real Madrid,2,x,0,22/10,03:09,radical,Manchester City;
2,agent,Inter,0,x,0,22/10,00:38,havoc,Atletico Madrid;
3,agent,Inter,1,x,1,22/10,01:24,havoc,Atletico Madrid;
4,agent,Inter,3,x,2,22/10,01:09,franchise,Fc Barcelona;
5,arcos,Manchester United,1,x,2,22/10,02:54,nikkitta,Liverpool;
6,arcos,Manchester United,1,x,2,22/10,02:54,nikkitta,Liverpool;
7,arcos,Manchester United,3,x,3,22/10,03:41,kravatskhelia,Manchester City;
8,arcos,Manchester United,3,x,3,22/10,03:41,kravatskhelia,Manchester City;
9,arcos,Manchester United,4,x,1,22/10,03:18,koftovsky,Tottenham Hotspur;
10,arcos,Manchester United,4,x,2,22/10,02:30,senior,Arsenal;
11,arcos,Manchester United,4,x,2,22/10,02:30,senior,Arsenal;
12,arcos,Manchester United,4,x,1,22/10,03:18,koftovsky,Tottenham Hotspur;
13,bomb1to,Spain,0,x,1,22/10,01:59,jekunam,Italy;
14,bomb1to,Spain,1,x,2,22/10,02:34,d1psen,England;
15,bomb1to,Spain,1,x,3,22/10,03:23,dm1trena,Germany;
16,bomb1to,Spain,1,x,2,22/10,02:34,d1psen,England;
17,bomb1to,Spain,1,x,3,22/10,03:23,dm1trena,Germany;
18,bomb1to,Spain,3,x,3,22/10,03:46,wboy,Portugal;
19,boulevard,Manchester City,1,x,3,22/10,01:07,inquisitor,Arsenal;
20,boulevard,Manchester City,1,x,3,22/10,01:07,inquisitor,Arsenal;
21,boulevard,Manchester City,2,x,0,22/10,00:43,hotshot,Liverpool;
22,boulevard,Manchester City,2,x,2,22/10,00:20,kray,Manchester United;
23,boulevard,Manchester City,2,x,2,22/10,01:32,kodak,Tottenham Hotspur;
24,boulevard,Manchester City,2,x,0,22/10,00:43,hotshot,Liverpool;
25,boulevard,Manchester City,2,x,2,22/10,00:20,kray,Manchester United;
26,boulevard,Manchester City,2,x,2,22/10,01:32,kodak,Tottenham Hotspur;
27,boulevard,Netherlands,1,x,0,21/10,23:22,kodak,England;
28,boulevard,Netherlands,2,x,2,21/10,22:34,hotshot,Argentina;
29,boulevard,Netherlands,3,x,2,21/10,22:58,inquisitor,Germany;
30,bullfrog,Fc Bayern Munchen,5,x,4,22/10,03:26,acid,Real Madrid;
31,d1psen,England,0,x,0,22/10,02:23,jekunam,Italy;
32,d1psen,England,1,x,1,22/10,03:10,wboy,Portugal;
33,d1psen,England,1,x,1,22/10,03:34,bomb1to,Spain;
34,d1psen,England,1,x,1,22/10,03:34,bomb1to,Spain;
35,d1psen,England,2,x,2,22/10,02:46,dm1trena,Germany;
36,d1psen,England,2,x,2,22/10,02:46,dm1trena,Germany;
37,decade,Milan,1,x,1,22/10,02:12,flamez,Napoli;
38,decade,Milan,5,x,1,22/10,02:30,lx7ss,Juventus;
39,decade,Milan,5,x,4,22/10,03:24,qqvlone,Roma;
40,dm1trena,Germany,1,x,2,22/10,02:23,bomb1to,Spain;
41,dm1trena,Germany,1,x,3,22/10,01:59,wboy,Portugal;
42,dm1trena,Germany,1,x,3,22/10,03:46,d1psen,England;
43,dm1trena,Germany,1,x,3,22/10,01:59,wboy,Portugal;
44,dm1trena,Germany,2,x,2,22/10,03:10,jekunam,Italy;
45,dm1trena,Germany,2,x,2,22/10,03:10,jekunam,Italy;
46,emperor,Liverpool,1,x,2,21/10,23:12,jaeger,Fc Barcelona;
47,emperor,Paris Saint-Germain,0,x,2,22/10,02:45,roc,Fc Bayern Munchen;
48,emperor,Paris Saint-Germain,1,x,1,22/10,00:44,jaeger,Real Madrid;
49,emperor,Paris Saint-Germain,1,x,2,22/10,01:45,threat,Manchester City;
50,exhausted,Paris Saint-Germain,0,x,3,22/10,00:00,salfour,Manchester City;
51,exhausted,Paris Saint-Germain,1,x,3,22/10,00:10,why,Fc Bayern Munchen;
52,exhausted,Paris Saint-Germain,1,x,3,22/10,00:10,why,Fc Bayern Munchen;
53,exhausted,Paris Saint-Germain,2,x,1,22/10,00:35,salfour,Manchester City;
54,exhausted,Paris Saint-Germain,2,x,2,22/10,01:23,salfour,Manchester City;
55,exhausted,Paris Saint-Germain,2,x,1,22/10,00:35,salfour,Manchester City;
56,exhausted,Paris Saint-Germain,2,x,2,22/10,01:23,salfour,Manchester City;
57,exhausted,Paris Saint-Germain,3,x,5,22/10,01:35,why,Fc Bayern Munchen;
58,exhausted,Paris Saint-Germain,3,x,5,22/10,01:35,why,Fc Bayern Munchen;
59,exhausted,Paris Saint-Germain,5,x,3,22/10,00:58,why,Fc Bayern Munchen;
60,exhausted,Paris Saint-Germain,5,x,3,22/10,00:58,why,Fc Bayern Munchen;
61,exhausted,Portugal,2,x,3,21/10,23:14,why,Germany;
62,exhausted,Portugal,2,x,3,21/10,23:14,why,Germany;
63,exhausted,Portugal,3,x,3,21/10,23:01,salfour,England;
64,exhausted,Portugal,3,x,0,21/10,22:38,why,Germany;
65,exhausted,Portugal,3,x,3,21/10,23:01,salfour,England;
66,flamez,Napoli,2,x,6,22/10,01:54,special,Inter;
67,flamez,Napoli,6,x,1,22/10,03:06,lx7ss,Juventus;
